number,title,url,labels,body_len,reasons,body_preview
211,[Other] **On-Call Procedures**: No defined on-call rotation or escalation.,https://github.com/cmh-demos/kimberly/issues/211,documentation|enhancement|P3,145,placeholder words,Why: Unclear ownership for incidents. Next: Define on-call schedule (even if solo); add PagerDuty or email alerts; document handoff procedures.
207,"[Other] **Chaos Engineering & Load Testing**: No resilience testing (e.g., kill pods, simulate",https://github.com/cmh-demos/kimberly/issues/207,enhancement|needs-triage|P3,173,label: needs-triage,"failures) or load benchmarks. Why: Unknown failure modes under stress. Next: Use Chaos Mesh for K8s; add k6/JMeter scripts for load testing against SLOs (e.g., 1000 req/s)."
206,[Other] **Backup & Recovery Implementation**: No automated backups for Postgres/Redis/object,https://github.com/cmh-demos/kimberly/issues/206,enhancement|needs-triage|P3,165,label: needs-triage,store; no restore tests. Why: Data loss risk. Next: Add cron jobs for DB dumps; implement point-in-time recovery; schedule monthly restore drills with verification.
205,[Other] **Incident Runbooks Development**: Outlines exist in ops-and-observability.md but no,https://github.com/cmh-demos/kimberly/issues/205,enhancement|chore|P0,202,placeholder words,"detailed playbooks for common issues (e.g., DB outage, agent failure). Why: Slow MTTR. Next: Expand runbooks with step-by-step actions, escalation paths, and post-mortems; test via tabletop exercises."
202,[Other] **App Startup Failure Debugging**: App exits with code 1 on run (python app.py); no,https://github.com/cmh-demos/kimberly/issues/202,bug|documentation|enhancement|P3,250,placeholder words,"logs or error output captured. Why: Unreliable deployment and testing. Next: Add try/except in app.py for startup errors, log to stderr/file; run with verbose flags to capture stack traces; fix root cause (e.g., Redis connection, missing env vars)."
196,[Other] **API Examples (docs/API.md)**: Lacks inline examples.,https://github.com/cmh-demos/kimberly/issues/196,documentation|enhancement|P3,45,short body|placeholder words,Why: Usage unclear. Next: Add curl snippets.
195,"[Other] **Threat Mitigations (docs/threat-model.md)**: High-level (e.g., ""encryption"").",https://github.com/cmh-demos/kimberly/issues/195,documentation|enhancement|P1,57,short body,"Why: Incomplete. Next: Specify tools (AES-256, TLS 1.3)."
194,"[Other] **Meditation Frequency (docs/memory-model.md)**: ""On-demand"" triggers undefined.",https://github.com/cmh-demos/kimberly/issues/194,documentation|enhancement|P3,73,placeholder words,Why: Scheduling unclear. Next: Define as user-initiated or quota breach.
193,"[Other] **Hybrid Retrieval Flow (docs/memory-model.md)**: Steps listed, no example.",https://github.com/cmh-demos/kimberly/issues/193,documentation|enhancement|P3,55,short body,Why: Hard to implement. Next: Add sample query/output.
192,[Other] **Roles Overlap (roles.md)**: Notes overlap but no specifics.,https://github.com/cmh-demos/kimberly/issues/192,documentation|enhancement|chore|P3,98,placeholder words,"Why: Assignment hard. Next: Specify overlaps (e.g., SRE/DevOps)."
191,[Other] **Ethical AI (PROJECT.md)**: Broad.,https://github.com/cmh-demos/kimberly/issues/191,documentation|enhancement|needs-triage|P3,54,short body|placeholder words|label: needs-triage,"Why: Scope unclear. Next: Define as consent, no harm."
190,[Other] **Bias Mitigation (docs/threat-model.md, PROJECT.md)**: Techniques unspecified.,https://github.com/cmh-demos/kimberly/issues/190,documentation|enhancement|P3,62,placeholder words,Why: Ethics vague. Next: List checks (e.g., fairness audits).
189,"[Other] **Agent Limits (PROJECT.md)**: ""Isolation protocols"" vague.",https://github.com/cmh-demos/kimberly/issues/189,enhancement|needs-triage|P3,65,placeholder words|label: needs-triage,"Why: Safety unclear. Next: Define as sandboxing + resource caps."
